city,lat,lng,country,code,population
Chincha Alta,-13.4196,-76.14,Peru,PER,153076
Lake Charles,30.203,-93.215,United States,USA,153097
Pasadena,29.6583,-95.1498,United States,USA,153351
Mufulira,-12.55,28.26,Zambia,ZMB,153624
Masjed Soleyman,31.98,49.2999,Iran,IRN,153663
Rio Cuarto,-33.13,-64.35,Argentina,ARG,153757
Moanda,-5.9229,12.355,Congo (Kinshasa),COD,153915
Lemosos,34.6754,33.0333,Cyprus,CYP,154000
San Cristobal,18.416,-70.109,Dominican Republic,DOM,154040
Tottori,35.5004,134.2333,Japan,JPN,154098
Osorno,-40.57,-73.16,Chile,CHL,154131
Kovrov,56.3604,41.33,Russia,RUS,154224
Cairns,-16.8878,145.7633,Australia,AUS,154225
Lakewood,39.6977,-105.117,United States,USA,154393
Pathum Thani,14.0171,100.5333,Thailand,THA,154412
Gandajika,-6.7396,23.96,Congo (Kinshasa),COD,154425
Chetumal,18.5,-88.3,Mexico,MEX,154517
La Serena,-29.9,-71.25,Chile,CHL,154521
Mahajanga,-15.67,46.345,Madagascar,MDG,154657
Middelburg,-25.7596,29.47,South Africa,ZAF,154706
Guangshui,31.6204,114,China,CHN,154771
Battambang,13.1,103.2,Cambodia,KHM,154773
Gainesville,34.2903,-83.8299,United States,USA,154859
Beian,48.239,126.482,China,CHN,154936
Sariwon,38.507,125.762,"Korea, North",PRK,154942
Kanchipuram,12.8337,79.7167,India,IND,155029
Ordu,41.0004,37.8699,Turkey,TUR,155117
Foggia,41.4605,15.56,Italy,ITA,155203
Innsbruck,47.2804,11.41,Austria,AUT,155214
Gyeongju,35.8428,129.2117,"Korea, South",KOR,155237
Champaign,40.1148,-88.2731,United States,USA,155368
Barysaw,54.226,28.4922,Belarus,BLR,155389
Batumi,41.6,41.63,Georgia,GEO,155542
Sibiu,45.7971,24.1371,Romania,ROU,155565
Muroran,42.35,140.98,Japan,JPN,155676
Shkoder,42.0685,19.5188,Albania,ALB,155767
Alexandria,38.8184,-77.0861,United States,USA,155810
Yulin,38.2833,109.7333,China,CHN,155960
Malabo,3.75,8.7833,Equatorial Guinea,GNQ,155963
Ciudad del Carmen,18.6537,-91.8245,Mexico,MEX,156195
Gonder,12.61,37.46,Ethiopia,ETH,156230
Livorno,43.5511,10.3023,Italy,ITA,156274
Uroteppa,39.9219,69.0015,Tajikistan,TJK,156621
Koforidua,6.0904,-0.26,Ghana,GHA,156653
Dali,25.7,100.18,China,CHN,156685
Moundou,8.55,16.09,Chad,TCD,156705
Matsue,35.467,133.0666,Japan,JPN,156811
Zonguldak,41.4304,31.78,Turkey,TUR,156918
Afyon,38.7504,30.55,Turkey,TUR,156992
Tiraspol,46.8531,29.64,Moldova,MDA,157000
Rustavi,41.5704,45.05,Georgia,GEO,157063
Ussuriysk,43.8,132.02,Russia,RUS,157068
Kashmar,35.1814,58.4515,Iran,IRN,157135
Puerto Princesa,9.7543,118.7444,Philippines,PHL,157144
Isiro,2.76,27.62,Congo (Kinshasa),COD,157196
Hurghada,27.23,33.83,Egypt,EGY,157204
Palmdale,34.5945,-118.1058,United States,USA,157356
Surat Thani,9.1501,99.3401,Thailand,THA,157627
Port Arthur,29.8554,-93.9264,United States,USA,157732
Sudbury,46.5,-80.9666,Canada,CAN,157857
Lafayette,40.399,-86.8592,United States,USA,157955
Sobral,-3.69,-40.35,Brazil,BRA,157996
Melitopol,46.8378,35.3775,Ukraine,UKR,158000
Albacete,39.0003,-1.87,Spain,ESP,158094
Hoshiarpur,31.52,75.98,India,IND,158142
Huanuco,-9.92,-76.24,Peru,PER,158145
Odense,55.4004,10.3833,Denmark,DNK,158222
Barreiras,-12.14,-45,Brazil,BRA,158292
Abeche,13.84,20.83,Chad,TCD,158317
Maykop,44.61,40.12,Russia,RUS,158451
Samarra,34.194,43.875,Iraq,IRQ,158508
Rio Largo,-9.48,-35.84,Brazil,BRA,158545
Cuddalore,11.7204,79.77,India,IND,158569
Hayward,37.6327,-122.0776,United States,USA,158937
York,53.9704,-1.08,United Kingdom,GBR,158947
Punta del Este,-34.97,-54.95,Uruguay,URY,159000
Zarzis,33.5104,11.1,Tunisia,TUN,159161
Tarija,-21.5167,-64.75,Bolivia,BOL,159269
Nakhodka,42.8374,132.8874,Russia,RUS,159551
Nakhodka,67.7504,77.52,Russia,RUS,159551
Pagadian,7.853,123.507,Philippines,PHL,159590
Valdivia,-39.795,-73.245,Chile,CHL,159599
Manchester,42.9844,-71.4445,United States,USA,159744
Salavat,53.3703,55.93,Russia,RUS,159893
Gonbad-e Kavus,37.2518,55.1715,Iran,IRN,159982
Lazaro Cardenas,17.9587,-102.2,Mexico,MEX,160087
Taunggyi,20.782,97.038,Burma,MMR,160115
Xapeco,-27.1,-52.64,Brazil,BRA,160157
Xiaogan,30.9204,113.9,China,CHN,160437
Bumba,2.19,22.46,Congo (Kinshasa),COD,160539
Springfield,39.7713,-89.6538,United States,USA,160570
Malakal,9.5369,31.656,South Sudan,SSD,160765
Sullana,-4.8896,-80.68,Peru,PER,160789
Ras al Khaymah,25.7915,55.9428,United Arab Emirates,ARE,160849
Geelong,-38.1675,144.3956,Australia,AUS,160991
Bhisho,-32.87,27.39,South Africa,ZAF,160997
Muskegon,43.228,-86.256,United States,USA,161058
Rubtsovsk,51.52,81.21,Russia,RUS,161065
Coquimbo,-29.9529,-71.3436,Chile,CHL,161317
Tunja,5.5504,-73.37,Colombia,COL,161412
Budaun,28.03,79.09,India,IND,161555
Murfreesboro,35.851,-86.4093,United States,USA,161634
Settat,33.0104,-7.62,Morocco,MAR,161748
Ash Shatrah,31.4175,46.1772,Iraq,IRQ,161949
Dourados,-22.23,-54.81,Brazil,BRA,162202
Cary,35.7815,-78.8162,United States,USA,162320
Salamanca,40.9704,-5.67,Spain,ESP,162353
Mahabad,36.7704,45.72,Iran,IRN,162434
Lecce,40.3604,18.15,Italy,ITA,162582
La Rioja,-29.41,-66.85,Argentina,ARG,162620
Simao,22.7807,100.9782,China,CHN,162725
Tartus,34.8846,35.8866,Syria,SYR,162980
Geneina,13.45,22.44,Sudan,SDN,162981
Navsari,20.8504,72.92,India,IND,163000
Mostar,43.3505,17.82,Bosnia And Herzegovina,BIH,163067
La Vega,19.2166,-70.5166,Dominican Republic,DOM,163197
Ingolstadt,48.7704,11.45,Germany,DEU,163325
Patra,38.23,21.73,Greece,GRC,163360
Marysville,48.0812,-122.1559,United States,USA,163547
Frisco,33.1551,-96.8219,United States,USA,163656
